Row Labels,Count of Aboard,Count of cn/ln,Count of Aboard Passangers,Count of Aboard Crew,Count of Fatalities,Count of Fatalities Passangers,Count of Fatalities Crew
7/10/1928,1,1,1,1,1,1,1
7/13/1928,1,1,1,1,1,1,1
7/24/1928,1,1,1,1,1,1,1
8/25/1928,1,1,1,1,1,1,1
9/2/1928,1,1,1,1,1,1,1
9/4/1928,2,2,2,2,2,2,2
9/6/1928,1,1,1,1,1,1,1
10/4/1928,1,1,1,1,1,1,1
10/18/1928,1,1,1,1,1,1,1
10/31/1928,1,1,1,1,1,1,1
11/15/1928,1,1,1,1,1,1,1
11/24/1928,1,1,1,1,1,1,1
11/25/1928,2,2,2,2,2,2,2
12/1/1928,1,1,1,1,1,1,1
12/3/1928,1,1,1,1,1,1,1
12/10/1928,1,1,1,1,1,1,1
12/11/1928,1,1,1,1,1,1,1
12/20/1928,1,1,1,1,1,1,1
12/23/1928,1,0,1,1,1,1,1
12/31/1928,1,1,1,1,1,1,1
1/5/1929,1,1,1,1,1,1,1
1/18/1929,1,1,1,1,1,1,1
1/25/1929,1,1,1,1,1,1,1
1/31/1929,2,2,2,2,2,2,2
3/17/1929,1,1,1,1,1,1,1
3/30/1929,1,1,1,1,1,1,1
4/21/1929,1,1,1,1,1,1,1
5/9/1929,1,0,1,1,1,1,1
5/18/1929,1,1,1,1,1,1,1
5/22/1929,1,1,1,1,1,1,1
6/13/1929,1,1,1,1,1,1,1
6/14/1929,1,1,1,1,1,1,1
6/17/1929,1,1,1,1,1,1,1
6/24/1929,1,1,1,1,1,1,1
6/29/1929,2,2,2,2,2,2,2
8/11/1929,1,0,1,1,1,1,1
8/24/1929,2,2,2,2,2,2,2
9/2/1929,1,1,1,1,1,1,1
9/3/1929,1,1,1,1,1,1,1
9/6/1929,1,1,1,1,1,1,1
9/14/1929,2,2,2,2,2,2,2
9/17/1929,3,1,3,3,3,3,3
10/26/1929,1,1,1,1,1,1,1
10/29/1929,1,0,1,1,1,1,1
10/31/1929,1,1,1,1,1,1,1
11/4/1929,1,1,1,1,1,1,1
11/6/1929,1,1,1,1,1,1,1
11/16/1929,1,1,1,1,1,1,1
11/20/1929,1,1,1,1,1,1,1
11/30/1929,1,1,1,1,1,1,1
12/2/1929,1,1,1,1,1,1,1
12/19/1929,1,1,1,1,1,1,1
12/30/1929,1,0,1,1,1,1,1
1/10/1930,1,0,1,1,1,1,1
1/13/1930,1,1,1,1,1,1,1
