,DATE,TOTAL_FATALITIES
245,1931-02-24,1.0
246,1931-03-21,8.0
247,1931-03-31,8.0
248,1931-04-14,2.0
249,1931-05-05,2.0
250,1931-05-22,1.0
251,1931-05-24,1.0
252,1931-06-07,4.0
253,1931-06-11,2.0
254,1931-06-13,4.0
255,1931-07-12,2.0
256,1931-07-14,2.0
257,1931-07-21,1.0
258,1931-07-24,7.0
259,1931-08-09,6.0
260,1931-09-14,1.0
261,1931-09-15,6.0
262,1931-09-16,4.0
263,1931-10-06,3.0
264,1931-10-14,3.0
265,1931-11-05,5.0
266,1931-11-13,3.0
267,1931-11-23,1.0
268,1931-11-24,3.0
269,1931-11-26,1.0
270,1931-12-05,2.0
271,1931-12-06,5.0
272,1931-12-09,2.0
273,1931-12-31,4.0
274,1932-01-21,1.0
275,1932-01-29,8.0
276,1932-02-01,5.0
277,1932-02-02,1.0
278,1932-02-02,1.0
279,1932-02-27,3.0
280,1932-03-08,3.0
281,1932-03-19,7.0
282,1932-03-21,1.0
283,1932-03-29,3.0
284,1932-03-31,1.0
285,1932-04-21,1.0
286,1932-05-16,3.0
287,1932-05-30,1.0
288,1932-07-16,9.0
289,1932-08-12,0.0
290,1932-08-31,2.0
291,1932-09-08,3.0
292,1932-09-17,1.0
293,1932-09-18,3.0
294,1932-10-12,1.0
295,1932-10-26,2.0
296,1932-10-29,2.0
297,1932-11-02,5.0
298,1932-11-25,2.0
299,1932-12-14,2.0
300,1932-12-14,1.0
301,1932-12-26,1.0
302,1933-01-10,1.0
303,1933-01-14,2.0
304,1933-01-20,1.0
305,1933-01-20,1.0
306,1933-01-24,2.0
307,1933-03-11,2.0
308,1933-03-25,3.0
309,1933-03-28,15.0
310,1933-04-03,1.0
311,1933-04-04,73.0
312,1933-04-23,5.0
313,1933-04-29,4.0
314,1933-05-09,6.0
315,1933-06-04,1.0
316,1933-06-11,9.0
317,1933-07-18,6.0
318,1933-08-29,5.0
319,1933-09-12,8.0
320,1933-10-10,10.0
321,1933-10-31,2.0
322,1933-11-09,4.0
323,1933-11-10,0.0
324,1933-11-20,8.0
325,1933-11-21,14.0
326,1933-11-24,2.0
327,1933-12-11,6.0
328,1933-12-14,5.0
329,1933-12-30,10.0
330,1934-01-15,14.0
331,1934-01-20,2.0
332,1934-02-23,8.0
333,1934-02-26,1.0
334,1934-03-06,4.0
335,1934-03-10,5.0
336,1934-03-22,3.0
337,1934-04-10,3.0
338,1934-05-09,6.0
339,1934-05-31,2.0
340,1934-06-09,7.0
341,1934-06-11,6.0
342,1934-06-22,1.0
343,1934-06-23,1.0
344,1934-07-09,3.0
345,1934-07-27,12.0
346,1934-08-05,2.0
347,1934-08-10,
348,1934-08-31,5.0
349,1934-10-02,7.0
350,1934-10-03,3.0
351,1934-10-19,11.0
352,1934-11-02,2.0
353,1934-11-15,4.0
354,1934-11-15,2.0
355,1934-12-07,3.0
356,1934-12-08,1.0
357,1934-12-10,4.0
358,1934-12-20,7.0
359,1934-12-22,1.0
360,1934-12-31,10.0
361,1935-01-08,0.0
362,1935-01-26,1.0
363,1935-01-31,11.0
364,1935-03-07,0.0
365,1935-03-15,3.0
366,1935-03-29,5.0
367,1935-04-01,1.0
368,1935-04-06,7.0
369,1935-05-01,1.0
370,1935-05-06,5.0
371,1935-05-18,50.0
372,1935-05-18,3.0
373,1935-05-27,1.0
374,1935-05-28,2.0
375,1935-05-29,6.0
376,1935-06-24,17.0
377,1935-07-14,6.0
378,1935-07-19,2.0
379,1935-07-20,13.0
380,1935-07-23,1.0
381,1935-07-28,5.0
382,1935-08-07,7.0
383,1935-08-13,
384,1935-08-14,4.0
385,1935-08-15,2.0
386,1935-08-15,3.0
387,1935-09-01,3.0
388,1935-09-13,8.0
389,1935-10-02,5.0
390,1935-10-07,12.0
391,1935-10-09,6.0
392,1935-10-21,1.0
393,1935-10-30,4.0
394,1935-11-02,4.0
395,1935-11-09,1.0
396,1935-11-09,12.0
397,1935-11-11,3.0
398,1935-12-04,1.0
399,1935-12-10,11.0
400,1935-12-24,3.0
401,1935-12-31,12.0
402,1936-01-14,13.0
403,1936-01-14,17.0
404,1936-01-17,13.0
405,1936-01-21,6.0
406,1936-01-29,1.0
407,1936-02-10,6.0
408,1936-02-15,4.0
409,1936-03-05,0.0
410,1936-03-14,5.0
411,1936-03-26,14.0
412,1936-04-01,2.0
413,1936-04-07,12.0
414,1936-04-11,3.0
415,1936-04-15,7.0
416,1936-04-17,3.0
417,1936-04-21,2.0
418,1936-04-30,2.0
419,1936-05-16,2.0
420,1936-06-09,1.0
421,1936-06-13,1.0
422,1936-06-16,7.0
423,1936-07-15,7.0
424,1936-07-28,6.0
425,1936-07-31,10.0
426,1936-08-02,3.0
427,1936-08-03,1.0
428,1936-08-05,8.0
429,1936-08-06,2.0
430,1936-08-12,2.0
431,1936-08-22,2.0
432,1936-09-05,10.0
433,1936-09-25,2.0
434,1936-09-28,3.0
435,1936-09-28,9.0
436,1936-09-29,4.0
437,1936-10-06,1.0
438,1936-10-09,1.0
439,1936-11-01,11.0
440,1936-11-17,4.0
441,1936-11-19,2.0
442,1936-12-04,6.0
443,1936-12-06,9.0
444,1936-12-07,5.0
445,1936-12-09,15.0
446,1936-12-15,7.0
447,1936-12-18,2.0
448,1936-12-19,0.0
449,1936-12-23,6.0
450,1936-12-26,
451,1936-12-27,12.0
452,1937-01-11,9.0
453,1937-01-12,5.0
454,1937-01-26,12.0
455,1937-02-09,11.0
456,1937-02-19,5.0
457,1937-03-12,4.0
458,1937-03-24,5.0
459,1937-03-25,13.0
460,1937-03-26,0.0
461,1937-05-06,35.0
462,1937-05-20,4.0
463,1937-06-02,8.0
464,1937-07-02,2.0
465,1937-07-28,15.0
466,1937-08-02,9.0
467,1937-08-03,14.0
468,1937-08-06,5.0
469,1937-08-08,3.0
470,1937-08-10,4.0
471,1937-08-23,3.0
472,1937-08-27,1.0
473,1937-10-01,2.0
474,1937-10-06,4.0
475,1937-10-17,19.0
476,1937-10-26,7.0
477,1937-11-12,4.0
478,1937-11-12,10.0
479,1937-11-16,11.0
480,1937-11-26,3.0
481,1937-12-04,4.0
482,1937-12-05,2.0
483,1937-12-05,2.0
484,1937-12-08,2.0
485,1937-12-24,3.0
486,1938-01-04,6.0
487,1938-01-10,10.0
488,1938-01-11,7.0
489,1938-01-12,1.0
490,1938-02-02,11.0
491,1938-02-05,13.0
492,1938-02-09,2.0
493,1938-02-09,8.0
494,1938-02-13,14.0
495,1938-02-22,3.0
496,1938-03-01,9.0
497,1938-03-07,7.0
498,1938-03-08,1.0
499,1938-03-23,8.0
500,1938-04-30,19.0
501,1938-05-05,1.0
502,1938-05-10,2.0
503,1938-05-16,9.0
504,1938-05-22,6.0
505,1938-05-24,10.0
506,1938-05-27,1.0
507,1938-05-27,3.0
508,1938-06-08,3.0
509,1938-06-19,4.0
510,1938-07-08,1.0
511,1938-07-14,20.0
512,1938-07-19,4.0
513,1938-07-22,14.0
514,1938-07-27,4.0
515,1938-07-29,15.0
516,1938-08-10,12.0
517,1938-08-10,6.0
518,1938-08-12,11.0
519,1938-08-13,16.0
520,1938-08-15,9.0
521,1938-08-18,0.0
522,1938-08-18,15.0
523,1938-08-24,14.0
524,1938-08-24,5.0
525,1938-08-29,0.0
526,1938-08-29,5.0
527,1938-10-01,4.0
528,1938-10-01,13.0
529,1938-10-10,20.0
530,1938-10-25,18.0
531,1938-11-02,2.0
532,1938-11-04,14.0
533,1938-11-14,6.0
534,1938-11-18,2.0
535,1938-11-26,12.0
536,1938-11-27,4.0
537,1938-11-29,5.0
538,1938-12-02,8.0
539,1938-12-08,10.0
540,1938-12-09,4.0
541,1938-12-12,13.0
542,1939-01-07,5.0
543,1939-01-13,10.0
544,1939-01-13,4.0
545,1939-01-18,4.0
546,1939-01-21,3.0
547,1939-02-12,6.0
548,1939-02-24,10.0
549,1939-03-14,3.0
550,1939-03-16,8.0
551,1939-03-18,10.0
552,1939-03-26,8.0
553,1939-04-03,9.0
554,1939-05-01,2.0
555,1939-05-02,9.0
556,1939-05-08,1.0
557,1939-06-06,0.0
558,1939-06-10,3.0
559,1939-06-20,3.0
560,1939-07-20,6.0
561,1939-08-04,7.0
562,1939-08-13,14.0
563,1939-08-15,5.0
